Index,Index1,Asset_Name,Asset_Type,Sector,Funds_Name,Rating,Fund Class,Value,Percentage
30,,Sun TV Network,Equity,Media & Entertainment,Tata Equity P/E Fund - Regular Plan (G),,,34.39,1.23
31,,Persistent,Equity,Information Technology,Tata Equity P/E Fund - Regular Plan (G),,,33.34,1.19
32,,Ceat,Equity,Automotive,Tata Equity P/E Fund - Regular Plan (G),,,31.49,1.13
33,,Radico Khaitan,Equity,Food & Beverages,Tata Equity P/E Fund - Regular Plan (G),,,31.2,1.11
34,,Jubilant Food,Equity,Miscellaneous,Tata Equity P/E Fund - Regular Plan (G),,,29.72,1.06
35,,MRF,Equity,Automotive,Tata Equity P/E Fund - Regular Plan (G),,,29.35,1.05
36,,Tata Global Bev,Equity,Food & Beverages,Tata Equity P/E Fund - Regular Plan (G),,,28.94,1.03
37,,TCS,Equity,Information Technology,Tata Equity P/E Fund - Regular Plan (G),,,28.86,1.03
38,,ICICI Prudentia,Equity,Banking & Financial Services,Tata Equity P/E Fund - Regular Plan (G),,,28.66,1.02
39,,Petronet LNG,Equity,Oil & Gas,Tata Equity P/E Fund - Regular Plan (G),,,28.39,1.01
40,,Max Financial,Equity,Manufacturing,Tata Equity P/E Fund - Regular Plan (G),,,28.26,1.01
41,,Bharti Airtel,Equity,Telecommunication,Tata Equity P/E Fund - Regular Plan (G),,,28.21,1.01
42,,Nilkamal,Equity,Manufacturing,Tata Equity P/E Fund - Regular Plan (G),,,25.67,0.92
43,,Container Corp,Equity,Services,Tata Equity P/E Fund - Regular Plan (G),,,24.4,0.87
44,,Talwalkars Fitn,Equity,Miscellaneous,Tata Equity P/E Fund - Regular Plan (G),,,22.55,0.81
45,,Chambal Fert,Equity,Chemicals,Tata Equity P/E Fund - Regular Plan (G),,,21.26,0.76
46,,New India Assur,Equity,Miscellaneous,Tata Equity P/E Fund - Regular Plan (G),,,18.58,0.66
47,,L&T Infotech,Equity,Information Technology,Tata Equity P/E Fund - Regular Plan (G),,,17.27,0.62
48,,CDSL,Equity,Banking & Financial Services,Tata Equity P/E Fund - Regular Plan (G),,,16.77,0.6
49,,HIL,Equity,Cement & Construction,Tata Equity P/E Fund - Regular Plan (G),,,16.46,0.59
50,,Tamil Newsprint,Equity,Manufacturing,Tata Equity P/E Fund - Regular Plan (G),,,12.94,0.46
51,,CBLO,Cash / Call,,Tata Equity P/E Fund - Regular Plan (G),-,,177.97,6.36
52,,REPO,Cash / Call,,Tata Equity P/E Fund - Regular Plan (G),-,,1.23,0.04
53,,NET CURRENT LIABILITIES,Cash / Call,,Tata Equity P/E Fund - Regular Plan (G),-,,-3.1,-0.11
54,,HDFC Bank,Equity,Banking & Financial Services,Principal Growth Fund - Direct Plan (G),,,28.55,4.67
55,,ICICI Bank,Equity,Banking & Financial Services,Principal Growth Fund - Direct Plan (G),,,27.48,4.5
56,,Reliance,Equity,Oil & Gas,Principal Growth Fund - Direct Plan (G),,,19.93,3.26
57,,Larsen,Equity,Engineering & Capital Goods,Principal Growth Fund - Direct Plan (G),,,19.5,3.19
58,,HDFC,Equity,Banking & Financial Services,Principal Growth Fund - Direct Plan (G),,,18.25,2.99
59,,SBI,Equity,Banking & Financial Services,Principal Growth Fund - Direct Plan (G),,,17.03,2.79
60,,Infosys,Equity,Information Technology,Principal Growth Fund - Direct Plan (G),,,16.69,2.73
61,,United Spirits,Equity,Food & Beverages,Principal Growth Fund - Direct Plan (G),,,13.7,2.24
62,,Phillips Carbon,Equity,Chemicals,Principal Growth Fund - Direct Plan (G),,,13.71,2.24
63,,Jain Irrigation,Equity,Manufacturing,Principal Growth Fund - Direct Plan (G),,,13.22,2.16
64,,Bajaj Electric,Equity,Consumer Durables,Principal Growth Fund - Direct Plan (G),,,12.8,2.09
65,,Tata Power,Equity,Utilities,Principal Growth Fund - Direct Plan (G),,,11.75,1.92
66,,Dabur India,Equity,Consumer Non-durables,Principal Growth Fund - Direct Plan (G),,,11.71,1.92
67,,Maruti Suzuki,Equity,Automotive,Principal Growth Fund - Direct Plan (G),,,11.43,1.87
68,,Asahi India,Equity,Manufacturing,Principal Growth Fund - Direct Plan (G),,,11.14,1.82
69,,KEC Intl,Equity,Engineering & Capital Goods,Principal Growth Fund - Direct Plan (G),,,10.81,1.77
70,,Chambal Fert,Equity,Chemicals,Principal Growth Fund - Direct Plan (G),,,10.63,1.74
71,,Britannia,Equity,Food & Beverages,Principal Growth Fund - Direct Plan (G),,,10.14,1.66
72,,Tata Motors,Equity,Automotive,Principal Growth Fund - Direct Plan (G),,,10.13,1.66
73,,Bombay Burmah,Equity,Food & Beverages,Principal Growth Fund - Direct Plan (G),,,10.08,1.65
74,,NTPC,Equity,Utilities,Principal Growth Fund - Direct Plan (G),,,9.67,1.58
75,,TCS,Equity,Information Technology,Principal Growth Fund - Direct Plan (G),,,9.56,1.56
76,,ITC,Equity,Tobacco,Principal Growth Fund - Direct Plan (G),,,9.4,1.54
77,,Hero Motocorp,Equity,Automotive,Principal Growth Fund - Direct Plan (G),,,9.27,1.52
78,,Kotak Mahindra,Equity,Banking & Financial Services,Principal Growth Fund - Direct Plan (G),,,9.12,1.49
79,,Rain Industries,Equity,Cement & Construction,Principal Growth Fund - Direct Plan (G),,,9.09,1.49
80,,Dewan Housing,Equity,Banking & Financial Services,Principal Growth Fund - Direct Plan (G),,,8.78,1.44
81,,Aurobindo Pharm,Equity,Pharmaceuticals,Principal Growth Fund - Direct Plan (G),,,8.68,1.42
82,,Rico Auto,Equity,Automotive,Principal Growth Fund - Direct Plan (G),,,8.39,1.37
83,,Coal India,Equity,Metals & Mining,Principal Growth Fund - Direct Plan (G),,,8.29,1.36
84,,HCL Tech,Equity,Information Technology,Principal Growth Fund - Direct Plan (G),,,8.14,1.33
85,,Sun Pharma,Equity,Pharmaceuticals,Principal Growth Fund - Direct Plan (G),,,7.93,1.3
86,,Dishman Carboge,Equity,Miscellaneous,Principal Growth Fund - Direct Plan (G),,,7.67,1.26
87,,Kalpataru Power,Equity,Engineering & Capital Goods,Principal Growth Fund - Direct Plan (G),,,7.53,1.23
88,,GNFC,Equity,Chemicals,Principal Growth Fund - Direct Plan (G),,,7.53,1.23
89,,Indian Hotels,Equity,Services,Principal Growth Fund - Direct Plan (G),,,7.25,1.19
90,,Karur Vysya,Equity,Banking & Financial Services,Principal Growth Fund - Direct Plan (G),,,6.92,1.13
91,,Bank of Baroda,Equity,Banking & Financial Services,Principal Growth Fund - Direct Plan (G),,,6.82,1.12
92,,Birla Corp,Equity,Cement & Construction,Principal Growth Fund - Direct Plan (G),,,6.8,1.11
93,,Raymond,Equity,Manufacturing,Principal Growth Fund - Direct Plan (G),,,6.71,1.1
94,,Shriram Trans,Equity,Banking & Financial Services,Principal Growth Fund - Direct Plan (G),,,6.62,1.08
95,,GlaxoSmith Con,Equity,Food & Beverages,Principal Growth Fund - Direct Plan (G),,,6.61,1.08
96,,Hind Zinc,Equity,Metals & Mining,Principal Growth Fund - Direct Plan (G),,,6.23,1.02
97,,UltraTechCement,Equity,Cement & Construction,Principal Growth Fund - Direct Plan (G),,,6.13,1
98,,Yes Bank,Equity,Banking & Financial Services,Principal Growth Fund - Direct Plan (G),,,5.96,0.98
99,,J. K. Cement,Equity,Cement & Construction,Principal Growth Fund - Direct Plan (G),,,5.94,0.97
100,,Abbott India,Equity,Pharmaceuticals,Principal Growth Fund - Direct Plan (G),,,5.93,0.97
101,,RamkrishnaForge,Equity,Manufacturing,Principal Growth Fund - Direct Plan (G),,,5.84,0.96
102,,Axis Bank,Equity,Banking & Financial Services,Principal Growth Fund - Direct Plan (G),,,5.78,0.95
103,,Century,Equity,Conglomerates,Principal Growth Fund - Direct Plan (G),,,5.68,0.93
104,,India Cements,Equity,Cement & Construction,Principal Growth Fund - Direct Plan (G),,,5.52,0.9
105,,Vijaya Bank,Equity,Banking & Financial Services,Principal Growth Fund - Direct Plan (G),,,5.45,0.89
106,,Bharti Airtel,Equity,Telecommunication,Principal Growth Fund - Direct Plan (G),,,5.4,0.88
107,,Hind Constr,Equity,Cement & Construction,Principal Growth Fund - Direct Plan (G),,,5.37,0.88
108,,Canara Bank,Equity,Banking & Financial Services,Principal Growth Fund - Direct Plan (G),,,5.29,0.87
109,,City Union Bank,Equity,Banking & Financial Services,Principal Growth Fund - Direct Plan (G),,,5.14,0.84
110,,Mahindra Holida,Equity,Services,Principal Growth Fund - Direct Plan (G),,,4.93,0.81
111,,NALCO,Equity,Metals & Mining,Principal Growth Fund - Direct Plan (G),,,4.93,0.81
112,,Syndicate Bank,Equity,Banking & Financial Services,Principal Growth Fund - Direct Plan (G),,,4.84,0.79
113,,Federal Bank,Equity,Banking & Financial Services,Principal Growth Fund - Direct Plan (G),,,4.54,0.74
114,,Rattan Power,Equity,Utilities,Principal Growth Fund - Direct Plan (G),,,2.61,0.43
115,,CL Educate,Equity,Miscellaneous,Principal Growth Fund - Direct Plan (G),,,2.16,0.35
116,,Milestone,Equity,Cement & Construction,Principal Growth Fund - Direct Plan (G),,,0.06,0.01
117,,Principal Short Term Income Fund - Direct Plan - Growth Option,Mutual Funds,,Principal Growth Fund - Direct Plan (G),-,Diversified Equity,6.29,1.03
118,,Chennai Super Kings Ltd.,Others / Unlisted,,Principal Growth Fund - Direct Plan (G),-,,0,0
119,,Balmer Lawrie Freight Containers Ltd.,Others / Unlisted,,Principal Growth Fund - Direct Plan (G),-,,0,0
120,,Sangam Health Care Products Ltd.,Others / Unlisted,,Principal Growth Fund - Direct Plan (G),-,,0,0
121,,Virtual Dynamics Software Ltd.,Others / Unlisted,,Principal Growth Fund - Direct Plan (G),-,,0,0
122,,Noble Brothers Impex Ltd.,Others / Unlisted,,Principal Growth Fund - Direct Plan (G),-,,0,0
123,,Precision Fasteners Ltd.,Others / Unlisted,,Principal Growth Fund - Direct Plan (G),-,,0,0
124,,Crescent Finstock Ltd.,Others / Unlisted,,Principal Growth Fund - Direct Plan (G),-,,0,0
125,,Mukerian Papers Ltd.,Others / Unlisted,,Principal Growth Fund - Direct Plan (G),-,,0,0
126,,CBLO / Reverse Repo Investments,Cash / Call,,Principal Growth Fund - Direct Plan (G),-,,25.33,4.14
127,,HDFC Bank,Equity,Banking & Financial Services,Invesco India Contra Fund - Direct Plan (G),,,-,6.39
128,,Reliance,Equity,Oil & Gas,Invesco India Contra Fund - Direct Plan (G),,,-,5.63
129,,HDFC,Equity,Banking & Financial Services,Invesco India Contra Fund - Direct Plan (G),,,-,5.01
130,,Infosys,Equity,Information Technology,Invesco India Contra Fund - Direct Plan (G),,,-,4.7
131,,ICICI Bank,Equity,Banking & Financial Services,Invesco India Contra Fund - Direct Plan (G),,,-,4.55
132,,ITC,Equity,Tobacco,Invesco India Contra Fund - Direct Plan (G),,,-,4.29
133,,Larsen,Equity,Engineering & Capital Goods,Invesco India Contra Fund - Direct Plan (G),,,-,4.17
134,,HCL Tech,Equity,Information Technology,Invesco India Contra Fund - Direct Plan (G),,,-,3.33
135,,M&M,Equity,Automotive,Invesco India Contra Fund - Direct Plan (G),,,-,3.04
136,,Cipla,Equity,Pharmaceuticals,Invesco India Contra Fund - Direct Plan (G),,,-,2.95
137,,Cyient,Equity,Information Technology,Invesco India Contra Fund - Direct Plan (G),,,-,2.82
138,,KNR Construct,Equity,Cement & Construction,Invesco India Contra Fund - Direct Plan (G),,,-,2.78
139,,KEC Intl,Equity,Engineering & Capital Goods,Invesco India Contra Fund - Direct Plan (G),,,-,2.61
140,,Axis Bank,Equity,Banking & Financial Services,Invesco India Contra Fund - Direct Plan (G),,,-,2.49
141,,Shriram Trans,Equity,Banking & Financial Services,Invesco India Contra Fund - Direct Plan (G),,,-,2.3
142,,Exide Ind,Equity,Automotive,Invesco India Contra Fund - Direct Plan (G),,,-,2.28
143,,Maruti Suzuki,Equity,Automotive,Invesco India Contra Fund - Direct Plan (G),,,-,2.24
144,,Sun Pharma,Equity,Pharmaceuticals,Invesco India Contra Fund - Direct Plan (G),,,-,2.08
145,,MRF,Equity,Automotive,Invesco India Contra Fund - Direct Plan (G),,,-,2.04
146,,VIP Industries,Equity,Manufacturing,Invesco India Contra Fund - Direct Plan (G),,,-,1.89
147,,Tata Metaliks,Equity,Metals & Mining,Invesco India Contra Fund - Direct Plan (G),,,-,1.85
148,,Petronet LNG,Equity,Oil & Gas,Invesco India Contra Fund - Direct Plan (G),,,-,1.81
149,,Apollo Hospital,Equity,Services,Invesco India Contra Fund - Direct Plan (G),,,-,1.79
150,,Sun TV Network,Equity,Media & Entertainment,Invesco India Contra Fund - Direct Plan (G),,,-,1.75
151,,Hero Motocorp,Equity,Automotive,Invesco India Contra Fund - Direct Plan (G),,,-,1.74
152,,Guj State Petro,Equity,Oil & Gas,Invesco India Contra Fund - Direct Plan (G),,,-,1.73
153,,ISGEC Heavy Eng,Equity,Food & Beverages,Invesco India Contra Fund - Direct Plan (G),,,-,1.72
154,,Rallis India,Equity,Chemicals,Invesco India Contra Fund - Direct Plan (G),,,-,1.55
155,,Interglobe Avi,Equity,Services,Invesco India Contra Fund - Direct Plan (G),,,-,1.52
156,,Bank of Baroda,Equity,Banking & Financial Services,Invesco India Contra Fund - Direct Plan (G),,,-,1.45
157,,L&T Finance,Equity,Banking & Financial Services,Invesco India Contra Fund - Direct Plan (G),,,-,1.37
158,,Tata Steel,Equity,Metals & Mining,Invesco India Contra Fund - Direct Plan (G),,,-,1.22
159,,South Ind Bk,Equity,Banking & Financial Services,Invesco India Contra Fund - Direct Plan (G),,,-,1.13
160,,United Spirits,Equity,Food & Beverages,Invesco India Contra Fund - Direct Plan (G),,,-,1.1
161,,Equitas Holding,Equity,Banking & Financial Services,Invesco India Contra Fund - Direct Plan (G),,,-,1.06
162,,Camlin Fine,Equity,Chemicals,Invesco India Contra Fund - Direct Plan (G),,,-,1.01
163,,J. K. Cement,Equity,Cement & Construction,Invesco India Contra Fund - Direct Plan (G),,,-,0.94
164,,Cochin Shipyard,Equity,Miscellaneous,Invesco India Contra Fund - Direct Plan (G),,,-,0.88
165,,Muthoot Finance,Equity,Banking & Financial Services,Invesco India Contra Fund - Direct Plan (G),,,-,0.67
166,,HPCL,Equity,Oil & Gas,Invesco India Contra Fund - Direct Plan (G),,,-,0.67
167,,General Insuran,Equity,Conglomerates,Invesco India Contra Fund - Direct Plan (G),,,-,0.64
168,,Ratnamani Metal,Equity,Metals & Mining,Invesco India Contra Fund - Direct Plan (G),,,-,0.46
169,,Coromandel Int,Equity,Chemicals,Invesco India Contra Fund - Direct Plan (G),,,-,0.3
170,,Cash & Cash Equivalent :,Cash / Call,,Invesco India Contra Fund - Direct Plan (G),-,,--,4.06
171,,M&M,Equity,Automotive,Sundaram Rural India Fund - Direct Plan (G),,,115.08,4.93
172,,HUL,Equity,Consumer Non-durables,Sundaram Rural India Fund - Direct Plan (G),,,109.55,4.69
173,,ITC,Equity,Tobacco,Sundaram Rural India Fund - Direct Plan (G),,,86.85,3.72
174,,UPL,Equity,Chemicals,Sundaram Rural India Fund - Direct Plan (G),,,84.37,3.61
175,,SBI,Equity,Banking & Financial Services,Sundaram Rural India Fund - Direct Plan (G),,,66.23,2.84
176,,NCC,Equity,Cement & Construction,Sundaram Rural India Fund - Direct Plan (G),,,62.48,2.68
177,,Ujjivan Financi,Equity,Banking & Financial Services,Sundaram Rural India Fund - Direct Plan (G),,,54.22,2.32
178,,Maruti Suzuki,Equity,Automotive,Sundaram Rural India Fund - Direct Plan (G),,,52.3,2.24
179,,Tata Global Bev,Equity,Food & Beverages,Sundaram Rural India Fund - Direct Plan (G),,,49.41,2.12
180,,ACC,Equity,Cement & Construction,Sundaram Rural India Fund - Direct Plan (G),,,48.03,2.06
181,,Tata Chemicals,Equity,Chemicals,Sundaram Rural India Fund - Direct Plan (G),,,47.81,2.05
182,,Britannia,Equity,Food & Beverages,Sundaram Rural India Fund - Direct Plan (G),,,46.84,2.01
183,,Greenlam Ind,Equity,Miscellaneous,Sundaram Rural India Fund - Direct Plan (G),,,46.21,1.98
184,,Heritage Foods,Equity,Food & Beverages,Sundaram Rural India Fund - Direct Plan (G),,,45.37,1.94
185,,Ambuja Cements,Equity,Cement & Construction,Sundaram Rural India Fund - Direct Plan (G),,,44.51,1.91
186,,Grasim,Equity,Conglomerates,Sundaram Rural India Fund - Direct Plan (G),,,43.5,1.86
187,,V-Guard Ind,Equity,Miscellaneous,Sundaram Rural India Fund - Direct Plan (G),,,43.21,1.85
188,,Zee Entertain,Equity,Media & Entertainment,Sundaram Rural India Fund - Direct Plan (G),,,41.56,1.78
189,,Asian Paints,Equity,Chemicals,Sundaram Rural India Fund - Direct Plan (G),,,41.18,1.76
190,,Hero Motocorp,Equity,Automotive,Sundaram Rural India Fund - Direct Plan (G),,,40.61,1.74
191,,M&M Financial,Equity,Banking & Financial Services,Sundaram Rural India Fund - Direct Plan (G),,,36.99,1.58
192,,Godrej Consumer,Equity,Consumer Non-durables,Sundaram Rural India Fund - Direct Plan (G),,,36.87,1.58
193,,Colgate,Equity,Consumer Non-durables,Sundaram Rural India Fund - Direct Plan (G),,,36.7,1.57
194,,Rallis India,Equity,Chemicals,Sundaram Rural India Fund - Direct Plan (G),,,34.14,1.46
195,,Dabur India,Equity,Consumer Non-durables,Sundaram Rural India Fund - Direct Plan (G),,,33.78,1.45
196,,P and G,Equity,Consumer Non-durables,Sundaram Rural India Fund - Direct Plan (G),,,33.38,1.43
197,,Akzo Nobel,Equity,Chemicals,Sundaram Rural India Fund - Direct Plan (G),,,31.67,1.36
198,,Nestle,Equity,Food & Beverages,Sundaram Rural India Fund - Direct Plan (G),,,29.88,1.28
199,,Mcleod,Equity,Food & Beverages,Sundaram Rural India Fund - Direct Plan (G),,,28.97,1.24
200,,GSFC,Equity,Chemicals,Sundaram Rural India Fund - Direct Plan (G),,,28.94,1.24
201,,GNFC,Equity,Chemicals,Sundaram Rural India Fund - Direct Plan (G),,,28.81,1.23
202,,Coromandel Int,Equity,Chemicals,Sundaram Rural India Fund - Direct Plan (G),,,27.73,1.19
203,,Chambal Fert,Equity,Chemicals,Sundaram Rural India Fund - Direct Plan (G),,,27.26,1.17
204,,Godfrey Phillip,Equity,Tobacco,Sundaram Rural India Fund - Direct Plan (G),,,26.94,1.15
205,,Pidilite Ind,Equity,Chemicals,Sundaram Rural India Fund - Direct Plan (G),,,26.89,1.15
206,,Repco Home,Equity,Banking & Financial Services,Sundaram Rural India Fund - Direct Plan (G),,,26.22,1.12
207,,DCM Shriram,Equity,Conglomerates,Sundaram Rural India Fund - Direct Plan (G),,,25.78,1.1
208,,HUDCO,Equity,Retail & Real Estate,Sundaram Rural India Fund - Direct Plan (G),,,24.68,1.06
209,,SBI Life Insura,Equity,Conglomerates,Sundaram Rural India Fund - Direct Plan (G),,,24.77,1.06
210,,Blue Star,Equity,Consumer Durables,Sundaram Rural India Fund - Direct Plan (G),,,24.79,1.06
211,,Varun Beverages,Equity,Food & Beverages,Sundaram Rural India Fund - Direct Plan (G),,,24.45,1.05
212,,Ramco Cements,Equity,Cement & Construction,Sundaram Rural India Fund - Direct Plan (G),,,23.88,1.02
213,,Jain Irrigation,Equity,Manufacturing,Sundaram Rural India Fund - Direct Plan (G),,,23.79,1.02
214,,Astec Life,Equity,Pharmaceuticals,Sundaram Rural India Fund - Direct Plan (G),,,23.37,1
215,,Bayer CropScien,Equity,Chemicals,Sundaram Rural India Fund - Direct Plan (G),,,22.24,0.95
216,,India Cements,Equity,Cement & Construction,Sundaram Rural India Fund - Direct Plan (G),,,21.96,0.94
217,,Balrampur Chini,Equity,Food & Beverages,Sundaram Rural India Fund - Direct Plan (G),,,21.93,0.94
218,,Monsanto India,Equity,Chemicals,Sundaram Rural India Fund - Direct Plan (G),,,20.55,0.88
219,,Marico,Equity,Consumer Non-durables,Sundaram Rural India Fund - Direct Plan (G),,,20.42,0.87
220,,Tamil Newsprint,Equity,Manufacturing,Sundaram Rural India Fund - Direct Plan (G),,,20.14,0.86
221,,Star Cement,Equity,Metals & Mining,Sundaram Rural India Fund - Direct Plan (G),,,19.97,0.86
222,,Godrej Agrovet,Equity,Miscellaneous,Sundaram Rural India Fund - Direct Plan (G),,,19.11,0.82
223,,Shriram City,Equity,Banking & Financial Services,Sundaram Rural India Fund - Direct Plan (G),,,18.26,0.78
224,,VST Tillers,Equity,Automotive,Sundaram Rural India Fund - Direct Plan (G),,,17.75,0.76
225,,Insecticides,Equity,Chemicals,Sundaram Rural India Fund - Direct Plan (G),,,17.34,0.74
226,,Whirlpool,Equity,Consumer Durables,Sundaram Rural India Fund - Direct Plan (G),,,16.25,0.7
227,,Navin Fluorine,Equity,Chemicals,Sundaram Rural India Fund - Direct Plan (G),,,16.29,0.7
228,,Himatsingka Sei,Equity,Manufacturing,Sundaram Rural India Fund - Direct Plan (G),,,13.69,0.59
229,,Bata India,Equity,Consumer Non-durables,Sundaram Rural India Fund - Direct Plan (G),,,12,0.51
230,,Dhanuka Agritec,Equity,Chemicals,Sundaram Rural India Fund - Direct Plan (G),,,9.42,0.4
231,,Avadh Sugar,Equity,Food & Beverages,Sundaram Rural India Fund - Direct Plan (G),,,9.06,0.39
232,,Indian Hume,Equity,Cement & Construction,Sundaram Rural India Fund - Direct Plan (G),,,6.26,0.27
233,,Dhampur Sugar,Equity,Food & Beverages,Sundaram Rural India Fund - Direct Plan (G),,,5.74,0.25
234,,CBLO,Money Market,,Sundaram Rural India Fund - Direct Plan (G),-,,142.68,6.11
235,,Share Application Money pending Allotment,Money Market,,Sundaram Rural India Fund - Direct Plan (G),-,,50,2.14
236,,Cash and Other Net Current Assets,Cash / Call,,Sundaram Rural India Fund - Direct Plan (G),-,,-26.15,-1.12
237,,Eicher Motors,Equity,Automotive,Principal Emerging Bluechip Fund - Direct Plan (G),,,40.03,2.4
238,,Britannia,Equity,Food & Beverages,Principal Emerging Bluechip Fund - Direct Plan (G),,,35.55,2.13
239,,IndusInd Bank,Equity,Banking & Financial Services,Principal Emerging Bluechip Fund - Direct Plan (G),,,31.71,1.9
240,,ICICI Bank,Equity,Banking & Financial Services,Principal Emerging Bluechip Fund - Direct Plan (G),,,29.65,1.78
241,,AIA Engineering,Equity,Engineering & Capital Goods,Principal Emerging Bluechip Fund - Direct Plan (G),,,28.12,1.69
242,,Petronet LNG,Equity,Oil & Gas,Principal Emerging Bluechip Fund - Direct Plan (G),,,26.64,1.6
243,,IGL,Equity,Oil & Gas,Principal Emerging Bluechip Fund - Direct Plan (G),,,25.41,1.52
244,,Navin Fluorine,Equity,Chemicals,Principal Emerging Bluechip Fund - Direct Plan (G),,,25.11,1.5
245,,HDFC Bank,Equity,Banking & Financial Services,Principal Emerging Bluechip Fund - Direct Plan (G),,,24.66,1.48
246,,HPCL,Equity,Oil & Gas,Principal Emerging Bluechip Fund - Direct Plan (G),,,23.78,1.43
247,,MRF,Equity,Automotive,Principal Emerging Bluechip Fund - Direct Plan (G),,,23.54,1.41
248,,Shree Cements,Equity,Cement & Construction,Principal Emerging Bluechip Fund - Direct Plan (G),,,23.23,1.39
249,,SBI,Equity,Banking & Financial Services,Principal Emerging Bluechip Fund - Direct Plan (G),,,22.67,1.36
250,,Bajaj Finance,Equity,Banking & Financial Services,Principal Emerging Bluechip Fund - Direct Plan (G),,,22.65,1.36
251,,Cyient,Equity,Information Technology,Principal Emerging Bluechip Fund - Direct Plan (G),,,22.59,1.35
252,,SIS,Equity,Miscellaneous,Principal Emerging Bluechip Fund - Direct Plan (G),,,22.47,1.35
253,,Container Corp,Equity,Services,Principal Emerging Bluechip Fund - Direct Plan (G),,,22.24,1.33
254,,Jindal Steel,Equity,Metals & Mining,Principal Emerging Bluechip Fund - Direct Plan (G),,,22.09,1.32
255,,Voltas,Equity,Conglomerates,Principal Emerging Bluechip Fund - Direct Plan (G),,,21.58,1.29
256,,Finolex Ind,Equity,Chemicals,Principal Emerging Bluechip Fund - Direct Plan (G),,,21.12,1.27
257,,Himadri Special,Equity,Chemicals,Principal Emerging Bluechip Fund - Direct Plan (G),,,20.96,1.26
258,,KEC Intl,Equity,Engineering & Capital Goods,Principal Emerging Bluechip Fund - Direct Plan (G),,,20.99,1.26
259,,Exide Ind,Equity,Automotive,Principal Emerging Bluechip Fund - Direct Plan (G),,,20.99,1.26
260,,Natco Pharma,Equity,Pharmaceuticals,Principal Emerging Bluechip Fund - Direct Plan (G),,,20.82,1.25
261,,Motherson Sumi,Equity,Automotive,Principal Emerging Bluechip Fund - Direct Plan (G),,,20.78,1.25
